searchedWord,pronounciations,englishDefinition,partOfSpeech,tags,seeAlso,info
誓い,,,,,,
1,誓い='ちかい',"oath, vow",Noun,,,
,,,,,,
2,誓い (Do As Infinityの曲)='no reading provided',Chikai (Do As Infinity song),Wikipedia definition,,,
,,,,,,
3,誓い (国歌)='no reading provided',Kassaman,Wikipedia definition,,,
,,,,,,
4,誓い (島みやえい子の曲)='no reading provided',Chikai,Wikipedia definition,,,
,,,,,,
5,誓いを立てる='ちかいをたてる',"to make a vow, to take an oath","Expression, Ichidan verb",,,
,,,,,,
6,誓い交わす='ちかいかわす',to vow to each other,Godan verb with su ending,,,
,,,,,,
7,誓いのKiss?='no reading provided',Kiss the Bride (2008 film),Wikipedia definition,,,
丸っきり,,,,,,
1,"丸っ切り='まるっきり', 丸っきり='まるっきり'","completely, absolutely, totally, (not) at all",Adverb,Usually written using kana alone,丸きり まるきり,
孤独,,,,,,
1,孤独='こどく',"solitude, loneliness, isolation","Noun, Na-adjective, No-adjective",,,
,,Solitude,,,,
,,,,,,
2,孤独 (ジョン・レノンの曲)='no reading provided',Isolation (John Lennon song),Wikipedia definition,,,
,,,,,,
3,孤独死='こどくし',"dying alone (esp. of someone who lives alone and dies of natural causes at home without anyone knowing), solitary death","Noun, Suru verb",,,
,,Kodokushi,,,,
,,,,,,
4,孤独感='こどくかん',"sense of isolation, (feelings of) loneliness",Noun,,,
,,,,,,
5,孤独な自転車乗り='no reading provided',The Adventure of the Solitary Cyclist,Wikipedia definition,,,
,,,,,,
6,孤独な群衆='no reading provided',The Lonely Crowd,Wikipedia definition,,,
,,,,,,
7,孤独なランナー='no reading provided',Running on Empty (album),Wikipedia definition,,,
,,,,,,
8,孤独な嘘='no reading provided',Separate Lies,Wikipedia definition,,,
,,,,,,
9,孤独のメッセージ='no reading provided',Message in a Bottle (song),Wikipedia definition,,,
,,,,,,
10,孤独な場所で='no reading provided',In a Lonely Place,Wikipedia definition,,,
小走り,,,,,,
1,小走り='こばしり',"trot, half run, jog","Noun, Suru verb",,,
,,girl in charge of menial tasks in a samurai family,,,,
理,,,,,,
1,理='り',"reason, principle, logic",Noun,,,
,,general principle (as opposed to individual concrete phenomenon),,,,
,,(in neo-Confucianism) the underlying principles of the cosmos,,,,
,,,,,,
2,"理='ことわり', 理り='ことわり'","reason, logic, sense, natural way of things",Noun,,,
,,,,,,
3,理解='りかい',"understanding, comprehension, appreciation, sympathy","Noun, Suru verb",,,
,,Understanding,,,,
,,,,,,
4,理想='りそう',"ideal, ideals","Noun, No-adjective",,現実,
,,Ideal (ethics),,,,
,,,,,,
5,"理由='りゆう, わけ'","reason, pretext, motive",Noun,,,
,,,,,,
6,理論='りろん',theory,Noun,,,
,,Theory,,,,
,,,,,,
7,理性='りせい',"reason, reasoning power, (one's) sense",Noun,,,
,,Reason,,,,
,,,,,,
8,理科='りか',"science (inc. mathematics, medicine, etc.), natural science",Noun,,文科,
,,"science department (university), science course",,,,
,,science (as a school subject),,,,
,,,,,,
9,"理窟='りくつ', 理屈='りくつ'","theory, reason",Noun,,,
,,,,,,
10,理容師='りようし',"barber, hairdresser",Noun,,,
,,Barber,,,,
道程,,,,,,
1,"道程='みちのり, どうてい', 道のり='みちのり'","distance, journey, itinerary",Noun,,,
,,"path (e.g. to one's goal), way, process, route, road",,,,
口径,,,,,,
1,口径='こうけい',"aperture, bore, calibre, caliber",Noun,,,
,,Caliber,,,,
,,,,,,
2,口径食='こうけいしょく',vignetting,Noun,,,
,,Vignetting,,,,
,,,,,,
3,口径比='こうけいひ',"aperture ratio (inverse of the f-number), relative aperture",Noun,,Ｆナンバー,
一切,,,,,,
1,一切='いっさい',"all, everything, the whole, lock, stock, and barrel","Noun, No-adjective, Noun - used as a suffix",,,
,,"absolutely not (with negative), without exception, entirely not",,,,
,,Issai,,,,
,,,,,,
2,"１切れ='ひときれ', １きれ='ひときれ', 一切れ='ひときれ'","slice, small piece",Noun,,,
,,,,,,
3,"一切合財='いっさいがっさい', 一切合切='いっさいがっさい'","any and every thing, altogether, lock, stock, and barrel, the whole shooting match, the whole kit and caboodle, without reserve","Adverbial noun, Temporal noun",Yojijukugo (four character compound),,
,,,,,,
4,一切衆生='いっさいしゅじょう',all living creatures,Noun,Yojijukugo (four character compound),,
,,,,,,
5,一切経='いっさいきょう',complete Buddhist scriptures,Noun,,,
,,,,,,
6,"ひと切り='ひときり', 一切り='ひときり'","pause, period, step, once, some years ago",Noun,,,
,,,,,,
7,一切気にならない='いっさいきにならない',"not be concerned about at all, not mind about at all, not care a bit","Expression, I-adjective",,気になる,
,,,,,,
8,一切皆空='いっさいかいくう',"matter is void, all is vanity",Expression,Yojijukugo (four character compound),,
,,,,,,
9,一切皆苦='いっさいかいく',all things are causes of sufferings,Expression,Buddhist term,四法印 しほういん,
愉快,,,,,,
1,愉快='ゆかい',"pleasant, delightful, enjoyable, joyful, cheerful, amusing, happy","Na-adjective, Noun",,,
,,,,,,
2,愉快犯='ゆかいはん',"crime committed for fun, criminal who takes delight in people's reaction to his crimes",Noun,,,
,,,,,,
3,愉快なシーバー家='no reading provided',Growing Pains (TV series),Wikipedia definition,,,
,,,,,,
4,愉快な戦争='no reading provided',Der lustige Krieg,Wikipedia definition,,,
,,,,,,
5,愉快なフェリックス='no reading provided',Drôle de Félix,Wikipedia definition,,,
先行,,,,,,
1,先行='せんこう',"preceding, going first, leading, going ahead, taking priority","Noun, Suru verb, No-adjective",,,
,,,,,,
2,"先行き='さきゆき, さきいき'","the future, future prospects",Noun,,,
,,,,,,
3,先行詞='せんこうし',antecedent,Noun,linguistics terminology,,
,,,,,,
4,先行き不安='さきゆきふあん',"uncertainty about the future, concern about future prospects",Noun,,,
,,,,,,
5,先行上映会='せんこうじょうえいかい',advance(d) screening (of a movie),Noun,,,
,,,,,,
6,先行予約='せんこうよやく',advance reservation,Noun,,,
,,,,,,
7,先行技術='せんこうぎじゅつ',prior art (patents),Noun,,,
,,,,,,
8,先行制御='せんこうせいぎょ',advanced control,Noun,Computer terminology,,
,,,,,,
9,先行指数='せんこうしすう',leading indicator,Noun,,,
,,,,,,
10,先行投資='せんこうとうし',prior investment,"Noun, No-adjective",,,
黙殺,,,,,,
1,黙殺='もくさつ',"ignoring, taking no notice of, refusing to comment on, turning a deaf ear to, treating with silent contempt, shunning","Noun, Suru verb",,,
唯一無二,,,,,,
1,"唯一無二='ゆいいつむに, ゆいつむに'","one and only, unique","Na-adjective, Noun, No-adjective",Yojijukugo (four character compound),,
ずけずけ,,,,,,
1,"no kanji='ずけずけ, つけつけ, づけづけ'","(speak) bluntly, frankly",Adverb taking the 'to' particle,Onomatopoeic or mimetic word,,
韜晦,,,,,,
1,韜晦='とうかい',"hidden (talents, etc.), self-concealment, self-effacement","Noun, Suru verb",,,
,,,,,,
2,韜晦趣味='とうかいしゅみ',"propensity to efface oneself, being prone to conceal one's talent",Noun,Yojijukugo (four character compound),,
いやはや,,,,,,
1,no kanji='いやはや',"(Oh) dear!, (Oh) dear me!, Good gracious",,,,
孤島,,,,,,
1,孤島='ことう',solitary island,Noun,,,
単に,,,,,,
1,単に='たんに',"simply, merely, only, solely",Adverb,,単,
油断,,,,,,
1,油断='ゆだん',"negligence, carelessness, inattention, unpreparedness","Noun, Suru verb",,,
,,,,,,
2,油断大敵='ゆだんたいてき',"Unpreparedness is one's greatest enemy, He that is too secure is not safe",Expression,Yojijukugo (four character compound),,
,,I'm Just Wild About Jerry,,,,
,,,,,,
3,油断させる='ゆだんさせる',"to put someone off his guard, to throw someone off his guard","Expression, Ichidan verb",,,
,,,,,,
4,"油断無く='ゆだんなく', 油断なく='ゆだんなく'","alertly, vigilantly, warily, diligently, attentively",Adverb,,,
,,,,,,
5,油断は禁物='ゆだんはきんもつ',"be on your guard!, take care!",Expression,,,
,,,,,,
6,"油断も隙も無い='ゆだんもすきもない', 油断も隙もない='ゆだんもすきもない'","one must constantly be on one's guard with ..., one cannot be too careful of ...",Expression,,,
,,,,,,
7,油断禁物='ゆだんきんもつ',"be on your guard!, take care!",Expression,,油断は禁物 ゆだんはきんもつ,
弟子,,,,,,
1,"弟子='でし, ていし'","pupil, disciple, adherent, follower, apprentice, young person, teacher's student-helper","Noun, No-adjective",,,
,,,,,,
2,弟子入り='でしいり',"becoming a pupil (of), becoming an apprentice","Noun, Suru verb",,,
,,,,,,
3,弟子丸泰仙='no reading provided',Taisen Deshimaru,Wikipedia definition,,,
必然,,,,,,
1,必然='ひつぜん',"inevitable, necessary, certain, sure","No-adjective, Na-adjective",,,
,,"inevitability, necessity",,,,
,,,,,,
2,必然的='ひつぜんてき',"inevitable, necessary",Na-adjective,,,
,,,,,,
3,必然性='ひつぜんせい',"necessity, inevitability",Noun,,,
根本,,,,,,
1,"根元='こんげん, ねもと', 根源='こんげん', 根原='こんげん', 根本='ねもと, こんぽん'","root, source, origin, foundation, base, principle","Noun, No-adjective",,,
,,Nemoto,,,,
,,,,,,
2,根本='ねほん',kabuki script,Noun,"Archaism, Kansai dialect",,
,,illustrated kabuki script,,,,
,,,,,,
3,根本的='こんぽんてき',"fundamental, basic",Na-adjective,,,
,,,,,,
4,根本主義='こんぽんしゅぎ',fundamentalism,Noun,,,
,,,,,,
5,根本悪='こんぽんあく',radical evil (in Kantian philosophy),Noun,,,
,,,,,,
6,根本主義者='こんぽんしゅぎしゃ',fundamentalist,Noun,,,
,,,,,,
7,根本原理='こんぽんげんり',"fundamental (basic) principles, fundamentals, ground rules",Noun,Yojijukugo (four character compound),,
,,,,,,
8,根本的な帰属の誤り='こんぽんてきなきぞくのあやまり',"fundamental attribution error, correspondence bias, attribution effect","Expression, Noun",,,
,,Fundamental attribution error,,,,
,,,,,,
9,根本圭子='no reading provided',Keiko Nemoto,Wikipedia definition,,,
,,,,,,
10,根本はるみ='no reading provided',Harumi Nemoto,Wikipedia definition,,,
あっという間,,,,,,
1,"あっと言う間='あっというま, あっとゆうま', アッという間='アッというま', アッと言う間='アッというま, アッとゆうま', あっとゆう間='あっとゆうま', アッとゆう間='アッとゆうま', あっという間='あっというま'","a blink of time, the time it takes to say ""Ah!""","Expression, Noun",,あっと言う間に,
,,,,,,
2,"あっとゆう間に='あっとゆうまに', アッと言う間に='アッというまに, アッとゆうまに', アッという間に='アッというまに', アッとゆう間に='アッとゆうまに', あっと言う間に='あっというまに, あっとゆうまに', あっという間に='あっというまに'","just like that, in the twinkling of an eye, in the blink of an eye, in the time it takes to say ""ah!""","Expression, Adverb",,,
制御,,,,,,
1,"制御='せいぎょ', 制禦='せいぎょ', 制馭='せいぎょ'","control (of a machine, device, etc.)","Noun, Suru verb",,,
,,"control (over an opponent, one's emotions, etc.), governing, management, suppression, keeping in check",,,,
,,,,,,
2,制御棒='せいぎょぼう',control rod,Noun,,,
,,Control rod,,,,
,,,,,,
3,制御装置='せいぎょそうち',"controller, control unit",Noun,,,
,,Control unit,,,,
,,,,,,
4,制御文字='せいぎょもじ',control character,Noun,Computer terminology,,
,,Control character,,,,
,,,,,,
5,制御回路='せいぎょかいろ',"control circuit, controlling circuit",Noun,,,
,,,,,,
6,制御卓='せいぎょたく',(operator) console,Noun,Computer terminology,,
,,,,,,
7,"制御機='せいぎょき', 制御器='せいぎょき'","controller, regulator",Noun,,,
,,,,,,
8,制御域='せいぎょいき',control area,Noun,Computer terminology,,
,,,,,,
9,制御切れ='せいぎょぎれ',control break,Noun,Computer terminology,,
,,,,,,
10,制御局='せいぎょきょく',control station,Noun,Computer terminology,,
往復,,,,,,
1,往復='おうふく',"making a round trip, going and returning, coming and going","Noun, Suru verb, No-adjective",,,
,,"round-trip ticket, return ticket",,,,
,,"correspondence, exchanging (letters)",,,,
,,"socializing, visiting one another",,,,
,,,,,,
2,往復切符='おうふくきっぷ',"round-trip ticket, return ticket",Noun,,,
,,,,,,
3,往復航空券='おうふくこうくうけん',round trip (airplane) ticket,Noun,,,
,,,,,,
4,"往復葉書='おうふくはがき', 往復はがき='おうふくはがき'",postcard with a reply card attached,Noun,,,
,,,,,,
5,往復乗車券='おうふくじょうしゃけん',"round-trip ticket (for a train, bus, etc.)",Noun,,,
,,,,,,
6,往復機関='おうふくきかん',reciprocating engine,Noun,,,
,,,,,,
7,往復伝搬時間='おうふくでんぱんじかん',round-trip propagation time,Noun,Computer terminology,,
,,,,,,
8,往復ポンプ='おうふくポンプ',reciprocating pump,Noun,,,
,,,,,,
9,"往復ビンタ='おうふくビンタ', 往復びんた='おうふくびんた'",double slap in the face (second slap administered by the return motion of the back of the hand),Noun,,,
所詮,,,,,,
1,"所詮='しょせん, そせん', 所せん='しょせん, そせん'",after all,Adverb,,,
行儀,,,,,,
1,行儀='ぎょうぎ',"manners, behavior, behaviour",Noun,,お行儀,
,,,,,,
2,行儀作法='ぎょうぎさほう',"etiquette, good manners",Noun,Yojijukugo (four character compound),,
,,,,,,
3,"行儀よくする='ぎょうぎよくする', 行儀良くする='ぎょうぎよくする'","to behave well, to mind one's manners","Expression, Suru verb - irregular",,行儀,
,,,,,,
4,行儀悪い='ぎょうぎわるい',"bad mannered, naughty, misbehaving","Expression, I-adjective",,,
,,,,,,
5,"行儀見習い='ぎょうぎみならい', 行儀見習='ぎょうぎみならい'",learning good manners through apprenticeship (to an upper-class family),Noun,Yojijukugo (four character compound),,
,,,,,,
6,行儀を直す='ぎょうぎをなおす',to mend one's manners,"Expression, Godan verb with su ending",,,
甚だしい,,,,,,
1,"甚だしい='はなはだしい', 甚しい='はなはだしい'","extreme, excessive, terrible, intense, severe, serious, tremendous, heavy (damage)",I-adjective,,,
,,,,,,
2,甚だしい誤解='はなはだしいごかい',serious misunderstanding,Noun,,,
性,,,,,,
1,性='せい',nature (of a person),Noun,,,
,,sex,,,,
,,gender,,,,
,,"-ty, -ity, -ness, -cy",,,,
,,,,,,
2,"性='さが', 相='さが'","one's nature, one's destiny",Noun,,,
,,"custom, tradition, habit, convention",,,,
,,,,,,
3,性='しょう',nature (of a person or thing),"Noun, Noun - used as a suffix",,,
,,that which does not change according to external influences,,,,
,,,,,,
4,性='なりくせ',"disposition, nature, character",Noun,"Archaism, Obscure term",,
,,,,,,
5,性別='せいべつ',"gender, distinction of sex, sex",Noun,,,
,,Sex,,,,
,,,,,,
6,性格='せいかく',"character, personality, disposition, nature",Noun,,,
,,,,,,
7,性質='せいしつ',"nature, property, disposition",Noun,,,
,,,,,,
8,性能='せいのう',"ability, performance, efficiency",Noun,,,
,,,,,,
9,"性欲='せいよく', 性慾='せいよく'",sexual desire,"Noun, No-adjective",,,
,,Lust,,,,
,,,,,,
10,性器='せいき',genitals,"Noun, No-adjective",,,
,,Sex organ,,,,
閲覧,,,,,,
1,閲覧='えつらん',"inspection, reading","Noun, Suru verb",,,
