searchedWord,pronounciations,englishDefinition,partOfSpeech,tags,seeAlso,info
等しい,,,,,,
1,"等しい='ひとしい', 斉しい='ひとしい', 均しい='ひとしい'","equal, similar, like, equivalent",I-adjective,,,
窺う,,,,,,
1,"窺う='うかがう', 覗う='うかがう'","to peep (through), to peek, to examine (esp. covertly)","Godan verb with u ending, Transitive verb",Usually written using kana alone,,
,,to await (one's chance),,,,
,,"to guess, to infer, to gather, to surmise",,,,
言動,,,,,,
1,言動='げんどう',"speech and conduct, words and deeds",Noun,,,
前段階,,,,,,
1,前段階='ぜんだんかい',"preliminary step, first step",Noun,,,
秒針,,,,,,
1,秒針='びょうしん',second hand (of clock),Noun,,,
数人,,,,,,
1,数人='すうにん',several people,"Noun, No-adjective",,,
既読,,,,,,
1,既読='きどく',already read,"No-adjective, Noun",,,
,,,,,,
2,既読スルー='きどくスルー',reading but not responding to a text message (in the chat application LINE),"Noun, Suru verb",Colloquialism,スルー,
擬音,,,,,,
1,擬音='ぎおん',"imitative sound (in film, theatre, etc.), sound effect",Noun,,,
,,,,,,
2,擬音係='ぎおんがかり',"foley artist, sound effects person",Noun,,,
,,,,,,
3,擬音語='ぎおんご',onomatopoeic word,Noun,linguistics terminology,,
幕開け,,,,,,
1,"幕明け='まくあけ', 幕開け='まくあけ'","the rise of the curtain, opening (of play)",Noun,,幕開き,
,,"beginning (e.g. of an era), opening (festival, event, etc.)",,,,
質な,,,,,,
1,質='しつ',"quality, value","Noun, Noun - used as a suffix",,,
,,"nature, inherent quality, character",,,,
,,logical quality,,,,
,,,,,,
2,質='たち',"quality, nature (of person)",Noun,,,
,,,,,,
3,質='しち',"collateral, pledge, pawned article",Noun,,質に入れる しちにいれる,
,,,,,,
4,質問='しつもん',"question, inquiry, enquiry","Noun, Suru verb, No-adjective",,,
,,,,,,
5,質素='しっそ',"simple, plain","Na-adjective, Noun",,,
,,"modest, frugal, reserved",,,,
,,,,,,
6,質屋='しちや',pawnshop,Noun,,,
,,Pawnbroker,,,,
,,,,,,
7,質疑='しつぎ',question,"Noun, Suru verb",,,
,,interpellation,,,,
,,,,,,
