searchedWord,pronounciations,englishDefinition,partOfSpeech,tags,seeAlso,info
飛行,,,,,,
1,飛行='ひこう',"aviation, flight, flying",Noun,,,
,,"to fly, to take a flight",,,,
,,,,,,
2,飛行='ひぎょう',flying without hindrance,"Noun, Suru verb",Buddhist term,神足通,
,,,,,,
3,飛行機='ひこうき',"aeroplane, airplane, aircraft",Noun,,,
,,Fixed-wing aircraft,,,,
,,,,,,
4,飛行場='ひこうじょう',"airfield, airport",Noun,,,
,,Hikoujou,,,,
,,Aerodrome,,,,
,,,,,,
5,飛行船='ひこうせん',"airship, blimp",Noun,,,
,,Airship,,,,
,,,,,,
6,飛行艇='ひこうてい',flying boat,Noun,,,
,,Flying boat,,,,
,,,,,,
7,飛行時間='ひこうじかん',"flight time, number of flight hours",Noun,,,
,,,,,,
8,飛行士='ひこうし',pilot,Noun,,,
,,,,,,
9,飛行禁止空域='ひこうきんしくういき',no-fly zone,Noun,,,
,,No-fly zone,,,,
,,,,,,
10,飛行甲板='ひこうかんぱん',flight deck,Noun,,,
,,Flight deck,,,,
約,,,,,,
1,約='やく',"approximately, about",Adverb,,,
,,promise,,,,
,,"shortening, reduction, simplification",,,,
,,contraction (in phonetics),,,,
,,,,,,
2,約束='やくそく',"promise, agreement, arrangement, one's word, contract, pact, appointment, engagement, date","Noun, Suru verb",,,
,,"convention, rule",,,,
,,"destiny, fate",,,,
,,,,,,
3,約数='やくすう',"divisor, factor, measure",Noun,Mathematics,,
,,Divisor,,,,
,,,,,,
4,約半分='やくはんぶん',approximately half,Noun,,,
,,,,,,
5,約束手形='やくそくてがた',promissory note,Noun,,,
,,Promissory note,,,,
,,,,,,
6,"約束通り='やくそくどおり', 約束どおり='やくそくどおり'",as one promised,"Noun, Adverb",,,
,,,,,,
7,約款='やっかん',"agreement, stipulation, article, clause",Noun,,,
,,,,,,
8,約定='やくじょう',"agreement, stipulation, contract","Noun, Suru verb",,,
,,,,,,
9,"約束をまもる='やくそくをまもる', 約束を守る='やくそくをまもる'","to keep a promise, to keep one's word","Expression, Godan verb with ru ending",,約束を破る,
,,,,,,
10,"約束を破る='やくそくをやぶる', 約束をやぶる='やくそくをやぶる'","to break a promise, to go back on one's word, to renege","Expression, Godan verb with ru ending",,約束を守る,
障害,,,,,,
1,"障碍='しょうがい, しょうげ', 障害='しょうがい', 障がい='しょうがい', 障礙='しょうがい, しょうげ'","obstacle, impediment, hindrance, difficulty, barrier","Noun, Suru verb",,,
,,"handicap, impairment, disability, disorder, malfunction",,,,
,,,,,,
2,"障碍者='しょうがいしゃ', 障がい者='しょうがいしゃ', 障礙者='しょうがいしゃ', 障害者='しょうがいしゃ'","(physically) handicapped person, disabled person",Noun,,,
,,Disability,,,,
,,,,,,
3,"障害物='しょうがいぶつ', 障碍物='しょうがいぶつ'","obstacle, hurdle",Noun,,,
,,,,,,
4,障害物競走='しょうがいぶつきょうそう',obstacle race,Noun,,,
,,Obstacle course,,,,
,,,,,,
5,障害しきい値='しょうがいしきいち',fault threshold,Noun,Computer terminology,,
,,,,,,
6,障害地点='しょうがいちてん',"blocking point, point of blockage",Noun,Computer terminology,,
,,,,,,
7,障害年金='しょうがいねんきん',"disability pension, invalid pension",Noun,,,
,,,,,,
8,障害率しきい値='しょうがいりつしきいち',fault-rate threshold,Noun,Computer terminology,,
,,,,,,
9,障害復旧='しょうがいふっきゅう',"disaster recovery, fault clearing, fault restoration",Noun,,,
,,,,,,
10,障害児='しょうがいじ',"handicapped child, handicapped children",Noun,,健常児,
停滞,,,,,,
